order_id,order_date,ship_date,ship_mode,customer_name,segment,state,country,market,region,sales,quantity,discount,profit
ORD1,2023-12-17,2023-12-18,Standard Class,Customer_1,Consumer,Texas,USA,US,West,937.48,10,0.04,56.25
ORD2,2023-09-24,2023-09-27,First Class,Customer_2,Corporate,California,USA,US,West,622.02,7,0.28,-111.96
ORD3,2023-11-27,2023-11-29,Second Class,Customer_3,Consumer,California,USA,US,West,862.9,6,0.27,-146.69
ORD4,2023-08-12,2023-08-15,First Class,Customer_4,Consumer,New York,USA,US,East,568.91,5,0.06,22.76
ORD5,2023-05-14,2023-05-20,First Class,Customer_5,Corporate,California,USA,US,Central,276.33,4,0.29,-52.5
ORD6,2023-11-20,2023-11-27,Second Class,Customer_6,Corporate,Texas,USA,US,West,412.52,10,0.25,-61.88
ORD7,2023-02-09,2023-02-14,Second Class,Customer_7,Corporate,California,USA,US,East,900.09,2,0.29,-171.02
ORD8,2023-04-21,2023-04-24,Second Class,Customer_8,Home Office,Texas,USA,US,Central,164.17,10,0.16,-9.85
ORD9,2023-10-16,2023-10-17,Standard Class,Customer_9,Consumer,Texas,USA,US,East,102.61,10,0.01,9.23
ORD10,2023-08-25,2023-08-27,First Class,Customer_10,Corporate,Texas,USA,US,West,166.55,1,0.04,9.99
ORD11,2023-01-02,2023-01-08,First Class,Customer_11,Home Office,New York,USA,US,Central,625.6,2,0.26,-100.1
ORD12,2023-01-04,2023-01-10,Standard Class,Customer_12,Consumer,New York,USA,US,Central,902.93,4,0.1,0.0
ORD13,2023-05-18,2023-05-21,First Class,Customer_13,Home Office,California,USA,US,Central,879.65,1,0.28,-158.34
ORD14,2023-01-23,2023-01-28,Second Class,Customer_14,Consumer,New York,USA,US,West,451.8,8,0.29,-85.84
ORD15,2023-01-27,2023-02-01,Standard Class,Customer_15,Home Office,Texas,USA,US,East,879.98,9,0.0,88.0
ORD16,2023-12-07,2023-12-14,Second Class,Customer_16,Corporate,New York,USA,US,Central,883.15,8,0.15,-44.16
ORD17,2023-08-22,2023-08-25,Second Class,Customer_17,Home Office,California,USA,US,East,932.49,1,0.07,27.97
ORD18,2023-08-04,2023-08-05,First Class,Customer_18,Home Office,California,USA,US,East,832.7,2,0.07,24.98
ORD19,2023-04-20,2023-04-25,First Class,Customer_19,Consumer,Texas,USA,US,West,606.84,10,0.04,36.41
ORD20,2023-01-11,2023-01-16,Standard Class,Customer_20,Home Office,New York,USA,US,East,139.13,10,0.17,-9.74
ORD21,2023-07-22,2023-07-27,First Class,Customer_21,Corporate,Texas,USA,US,Central,362.04,4,0.06,14.48
ORD22,2023-12-03,2023-12-07,First Class,Customer_22,Home Office,Texas,USA,US,West,298.94,10,0.04,17.94
ORD23,2023-12-06,2023-12-10,First Class,Customer_23,Corporate,Texas,USA,US,West,566.32,9,0.17,-39.64
ORD24,2023-02-05,2023-02-09,Second Class,Customer_24,Home Office,New York,USA,US,West,155.42,7,0.11,-1.55
ORD25,2023-10-19,2023-10-22,First Class,Customer_25,Corporate,New York,USA,US,East,677.8,4,0.02,54.22
ORD26,2023-09-14,2023-09-16,Standard Class,Customer_26,Consumer,California,USA,US,East,905.66,7,0.23,-117.74
ORD27,2023-12-08,2023-12-14,First Class,Customer_27,Corporate,Texas,USA,US,East,507.83,6,0.04,30.47
ORD28,2023-06-11,2023-06-14,Standard Class,Customer_28,Corporate,California,USA,US,West,606.09,2,0.18,-48.49
ORD29,2023-09-14,2023-09-17,Second Class,Customer_29,Home Office,Texas,USA,US,West,388.65,2,0.15,-19.43
ORD30,2023-12-20,2023-12-21,First Class,Customer_30,Home Office,California,USA,US,Central,800.29,5,0.09,8.0
ORD31,2023-08-31,2023-09-07,Second Class,Customer_31,Consumer,Texas,USA,US,Central,113.74,9,0.07,3.41
ORD32,2023-06-06,2023-06-12,Standard Class,Customer_32,Consumer,Texas,USA,US,East,646.53,5,0.14,-25.86
ORD33,2023-03-11,2023-03-14,First Class,Customer_33,Consumer,Texas,USA,US,West,481.99,4,0.23,-62.66
ORD34,2023-08-19,2023-08-26,Second Class,Customer_34,Corporate,Texas,USA,US,West,713.36,4,0.21,-78.47
ORD35,2023-03-19,2023-03-24,Second Class,Customer_35,Corporate,New York,USA,US,East,821.68,9,0.21,-90.38
ORD36,2023-11-10,2023-11-15,Second Class,Customer_36,Consumer,California,USA,US,West,348.65,5,0.12,-6.97
ORD37,2023-02-28,2023-03-05,Second Class,Customer_37,Home Office,California,USA,US,West,379.43,10,0.1,0.0
